name,iata_code,latitude,longitude,municipality,country
LaGuardia Airport,LGA,40.777199,-73.872597,New York,US
Long Beach Airport (Daugherty Field),LGB,33.816523,-118.149891,Long Beach,US
Bill & Hillary Clinton National Airport/Adams Field,LIT,34.729582,-92.223728,Little Rock,US
Lincoln Airport,LNK,40.85100173950195,-96.75920104980467,Lincoln,US
Lancaster Airport,LNS,40.121700286865234,-76.29609680175781,Lancaster,US
Laredo International Airport,LRD,27.543800354003903,-99.46160125732422,Laredo,US
Las Cruces International Airport,LRU,32.289398,-106.921997,Las Cruces,US
La Crosse Regional Airport,LSE,43.879002,-91.256699,La Crosse,US
Cincinnati Municipal Airport Lunken Field,LUK,39.102357,-84.418945,Cincinnati,US
Greenbrier Valley Airport,LWB,37.857914,-80.400438,Lewisburg,US
Lewiston Nez Perce County Airport,LWS,46.3745002746582,-117.01499938964844,Lewiston,US
Lynchburg Regional Airport - Preston Glenn Field,LYH,37.326698,-79.200401,Lynchburg,US
Midland International Air and Space Port,MAF,31.942499,-102.202003,Midland,US
Manistee County Blacker Airport,MBL,44.272707,-86.246495,Manistee,US
MBS International Airport,MBS,43.531913,-84.082275,Freeland,US
Merced Regional Macready Field,MCE,37.284698,-120.514,Merced,US
Kansas City International Airport,MCI,39.2976,-94.713898,Kansas City,US
McCook Ben Nelson Regional Airport,MCK,40.207787,-100.592794,McCook,US
Middle Georgia Regional Airport,MCN,32.69279861450195,-83.64920043945312,Macon,US
Orlando International Airport,MCO,28.429399490356445,-81.30899810791016,Orlando,US
Mason City Municipal Airport,MCW,43.159801,-93.329716,Mason City,US
Harrisburg International Airport,MDT,40.193501,-76.763397,Harrisburg,US
Chicago Midway International Airport,MDW,41.785999,-87.752403,Chicago,US
Key Field / Meridian Regional Airport,MEI,32.3326,-88.7519,Meridian,US
Memphis International Airport,MEM,35.0424,-89.9767,Memphis,US
McAllen Miller International Airport,MFE,26.176141,-98.237965,McAllen,US
Rogue Valley International Medford Airport,MFR,42.37419891357422,-122.8730010986328,Medford,US
Montgomery Regional (Dannelly Field) Airport,MGM,32.300598,-86.393997,Montgomery,US
Morgantown Municipal Airport Walter L. (Bill) Hart Field,MGW,39.643305,-79.917598,Morgantown,US
Manhattan Regional Airport,MHK,39.14099884033203,-96.6707992553711,Manhattan,US
Manchester-Boston Regional Airport,MHT,42.932598,-71.435699,Manchester,US
Miami International Airport,MIA,25.79319953918457,-80.29060363769531,Miami,US
General Mitchell International Airport,MKE,42.947201,-87.896599,Milwaukee,US
Muskegon County Airport,MKG,43.169498,-86.238197,Muskegon,US
McKellar-Sipes Regional Airport,MKL,35.599899,-88.915604,Jackson,US
Melbourne Orlando International Airport,MLB,28.1028,-80.645302,Melbourne,US
Quad City International Airport,MLI,41.448502,-90.5075,Moline,US
Monroe Regional Airport,MLU,32.510899,-92.037697,Monroe,US
Mammoth Yosemite Airport,MMH,37.625381,-118.84306,Mammoth Lakes,US
Mobile Regional Airport,MOB,30.6912,-88.242798,Mobile,US
Minot International Airport,MOT,48.2593994140625,-101.27999877929688,Minot,US
Monterey Peninsula Airport,MRY,36.58700180053711,-121.84300231933594,Monterey,US
Northwest Alabama Regional Airport,MSL,34.745123,-87.612981,Muscle Shoals,US
Dane County Regional Truax Field,MSN,43.1399,-89.337502,Madison,US
Missoula International Airport,MSO,46.91630173,-114.0910034,Missoula,US
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MSP,44.880081,-93.221741,Minneapolis,US
Massena International Airport Richards Field,MSS,44.936157,-74.844304,Massena,US
Louis Armstrong New Orleans International Airport,MSY,29.993401,-90.258003,New Orleans,US
Montrose Regional Airport,MTJ,38.5098,-107.893997,Montrose,US
Montauk Airport,MTP,41.0765,-71.920797,Montauk,US
Martha's Vineyard Airport,MVY,41.3931007385,-70.6143035889,Martha's Vineyard,US
Veterans Airport of Southern Illinois,MWA,37.751208,-89.016568,Marion,US
McCall Municipal Airport,MYL,44.888837,-116.101112,McCall,US
Myrtle Beach International Airport,MYR,33.679699,-78.928299,Myrtle Beach,US
Yuma International Airport / Marine Corps Air Station Yuma,YUM,32.650938,-114.609375,Yuma,US
Albert J Ellis Airport,OAJ,34.829201,-77.612099,Richlands,US
San Francisco Bay Oakland International Airport,OAK,37.720085,-122.221184,Oakland,US
Ogden Hinckley Airport,OGD,41.195899963379,-112.0120010376,Ogden,US
Ogdensburg International Airport,OGS,44.6819,-75.4655,Ogdensburg,US
Will Rogers World Airport,OKC,35.393388,-97.598248,Oklahoma City,US
L M Clayton Airport,OLF,48.094501,-105.574997,Wolf Point,US
Olympia Regional Airport,OLM,46.969399,-122.903,Olympia,US
Eppley Airfield,OMA,41.3032,-95.894096,Omaha,US
Ontario International Airport,ONT,34.056,-117.600998,Ontario,US
Miami-Opa Locka Executive Airport,OPF,25.907,-80.278397,Miami,US
Chicago O'Hare International Airport,ORD,41.9786,-87.9048,Chicago,US
Norfolk International Airport,ORF,36.895341,-76.201,Norfolk,US
Worcester Regional Airport,ORH,42.2673,-71.875702,Worcester,US
Orcas Island Airport,ESD,48.708199,-122.910004,Eastsound,US
Southwest Oregon Regional Airport,OTH,43.41709899902344,-124.24600219726562,North Bend,US
Owensboro Daviess County Airport,OWB,37.74010086,-87.16680145,Owensboro,US
Seattle Paine Field International Airport,PAE,47.9063,-122.281998,Everett,US
Barkley Regional Airport,PAH,37.06079864501953,-88.7738037109375,Paducah,US
Plattsburgh International Airport,PBG,44.6509017944336,-73.46810150146484,Plattsburgh,US
Palm Beach International Airport,PBI,26.683201,-80.095596,West Palm Beach,US
DeKalb Peachtree Airport,PDK,33.87633,-84.30213,Atlanta,US
Eastern Oregon Regional Airport at Pendleton,PDT,45.695099,-118.841003,Pendleton,US
Portland International Airport,PDX,45.588699,-122.598,Portland,US
Page Municipal Airport,PGA,36.924234,-111.447716,Page,US
Punta Gorda Airport,PGD,26.9202,-81.990501,Punta Gorda,US
Pitt-Greenville Airport,PGV,35.635535,-77.384262,Greenville,US
Newport News Williamsburg International Airport,PHF,37.131901,-76.492996,Newport News,US
Philadelphia International Airport,PHL,39.871899,-75.241096,Philadelphia,US
Phoenix Sky Harbor International Airport,PHX,33.435302,-112.005905,Phoenix,US
General Wayne A. Downing Peoria International Airport,PIA,40.6642,-89.693298,Peoria,US
Hattiesburg Laurel Regional Airport,PIB,31.4671,-89.337097,Moselle,US
St. Petersburg Clearwater International Airport,PIE,27.9102,-82.687401,Pinellas Park,US
Pocatello Regional Airport,PIH,42.9098014831543,-112.59600067138672,Pocatello,US
Pierre Regional Airport,PIR,44.38270187,-100.2860031,Pierre,US
Pittsburgh International Airport,PIT,40.491501,-80.232903,Pittsburgh,US
Mid Ohio Valley Regional Airport,PKB,39.3451,-81.439201,Parkersburg (Williamstown),US
Pellston Regional Airport of Emmet County Airport,PLN,45.57089996,-84.79669952,Pellston,US
Pensacola International Airport,PNS,30.4734,-87.1866,Pensacola,US
Presque Isle International Airport,PQI,46.688999,-68.0448,Presque Isle,US
Prescott International Airport - Ernest A. Love Field,PRC,34.654499,-112.419998,Prescott,US
Tri Cities Airport,PSC,46.264702,-119.119003,Pasco,US
Portsmouth International at Pease Airport,PSM,43.0778999329,-70.8233032227,Portsmouth,US
Palm Springs International Airport,PSP,33.8297,-116.507004,Palm Springs,US
Pueblo Memorial Airport,PUB,38.289101,-104.497002,Pueblo,US
Pullman-Moscow Regional Airport,PUW,46.741601,-117.11163,Pullman,US
Theodore Francis Green State Airport,PVD,41.725038,-71.425668,Warwick,US
Provo-Utah Lake International Airport,PVU,40.2192,-111.723,Provo,US
Portland International Jetport,PWM,43.646198,-70.309303,Portland,US
Rapid City Regional Airport,RAP,44.0452995300293,-103.05699920654295,Rapid City,US
Redding Municipal Airport,RDD,40.50899887,-122.2929993,Redding,US
Roberts Field,RDM,44.254101,-121.150002,Redmond,US
Raleigh Durham International Airport,RDU,35.877602,-78.787498,Raleigh/Durham,US
Chicago Rockford International Airport,RFD,42.1954,-89.097198,Chicago/Rockford,US
Rhinelander Oneida County Airport,RHI,45.63119888305664,-89.46749877929688,Rhinelander,US
Richmond International Airport,RIC,37.505199,-77.319702,Richmond,US
Central Wyoming Regional Airport,RIW,43.064201,-108.459999,Riverton,US
Knox County Regional Airport,RKD,44.060101,-69.099197,Rockland,US
Southwest Wyoming Regional Airport,RKS,41.5942,-109.065001,Rock Springs,US
Reno Tahoe International Airport,RNO,39.4991,-119.767998,Reno,US
Roanoke–Blacksburg Regional Airport,ROA,37.3255,-79.975403,Roanoke,US
Frederick Douglass Greater Rochester International Airport,ROC,43.1189,-77.672401,Rochester,US
Roswell Air Center Airport,ROW,33.301601,-104.530998,Roswell,US
Rochester International Airport,RST,43.908298,-92.5,Rochester,US
Southwest Florida International Airport,RSW,26.53619956970215,-81.75520324707031,Fort Myers,US
Rutland - Southern Vermont Regional Airport,RUT,43.5294,-72.9496,Rutland,US
Santa Fe Municipal Airport,SAF,35.6171,-106.088997,Santa Fe,US
San Diego International Airport,SAN,32.7336006165,-117.190002441,San Diego,US
San Antonio International Airport,SAT,29.533701,-98.469803,San Antonio,US
Savannah Hilton Head International Airport,SAV,32.127602,-81.202103,Savannah,US
Marquette/Sawyer International Airport,MQT,46.3536,-87.395401,Gwinn,US
Santa Barbara Municipal Airport,SBA,34.426201,-119.839996,Santa Barbara,US
San Bernardino International Airport,SBD,34.095402,-117.235001,San Bernardino,US
South Bend Regional Airport,SBN,41.708698,-86.317299,South Bend,US
San Luis County Regional Airport,SBP,35.2368011475,-120.641998291,San Luis Obispo,US
Salisbury Ocean City Wicomico Regional Airport,SBY,38.34049987792969,-75.51029968261719,Salisbury,US
Stockton Metropolitan Airport,SCK,37.893279,-121.238079,Stockton,US
Louisville Muhammad Ali International Airport,SDF,38.1744,-85.736,Louisville,US
Sidney - Richland Regional Airport,SDY,47.705141,-104.194422,Sidney,US
Seattle–Tacoma International Airport,SEA,47.447943,-122.310276,Seattle,US
Orlando Sanford International Airport,SFB,28.7775993347168,-81.23750305175781,Orlando,US
San Francisco International Airport,SFO,37.619806,-122.374821,San Francisco,US
Springfield Branson National Airport,SGF,37.245701,-93.388603,Springfield,US
Northeast Florida Regional Airport,UST,29.9592,-81.339798,St Augustine,US
St George Regional Airport,SGU,37.036389,-113.510306,St George,US
Shenandoah Valley Regional Airport,SHD,38.263802,-78.8964,Weyers Cave,US
Sheridan County Airport,SHR,44.76919937133789,-106.9800033569336,Sheridan,US
Shreveport Regional Airport,SHV,32.446602,-93.8256,Shreveport,US
Norman Y. Mineta San Jose International Airport,SJC,37.362452,-121.929188,San Jose,US
San Angelo Regional Mathis Field,SJT,31.35770034790039,-100.49600219726562,San Angelo,US
Taos Regional Airport,TSM,36.452494,-105.67749,Taos,US
Salt Lake City International Airport,SLC,40.78886,-111.979866,Salt Lake City,US
Salem-Willamette Valley Airport/McNary Field,SLE,44.9095,-123.002998,Salem,US
Adirondack Regional Airport,SLK,44.38691,-74.204629,Saranac Lake,US
Salina Municipal Airport,SLN,38.79100036621094,-97.6521987915039,Salina,US
Sacramento International Airport,SMF,38.6954,-121.591003,Sacramento,US
Lemhi County Airport,SMN,45.122233,-113.88196,Salmon,US
Santa Maria Public Airport Captain G Allan Hancock Field,SMX,34.898899,-120.457001,Santa Maria,US
John Wayne Orange County International Airport,SNA,33.675701,-117.867996,Santa Ana,US
Show Low Regional Airport,SOW,34.264062,-110.007091,Show Low,US
Abraham Lincoln Capital Airport,SPI,39.844101,-89.677902,Springfield,US
Wichita Falls Municipal Airport / Sheppard Air Force Base,SPS,33.9888,-98.491898,Wichita Falls,US
San Carlos Airport,SQL,37.51313,-122.250838,San Carlos,US
Sarasota Bradenton International Airport,SRQ,27.394631,-82.554359,Sarasota/Bradenton,US
Saint Cloud Regional Airport,STC,45.5466,-94.059898,Saint Cloud,US
St. Louis Lambert International Airport,STL,38.748697,-90.370003,St Louis,US
Charles M. Schulz Sonoma County Airport,STS,38.50899887,-122.8130035,Santa Rosa,US
Friedman Memorial Airport,SUN,43.50439835,-114.2959976,Hailey,US
Sioux Gateway Airport / Brigadier General Bud Day Field,SUX,42.397605,-96.382237,Sioux City,US
Grant County Airport,SVC,32.636701,-108.154736,Silver City,US
New York Stewart International Airport,SWF,41.504101,-74.104797,Newburgh,US
Stillwater Regional Airport,SWO,36.162132,-97.085581,Stillwater,US
Syracuse Hancock International Airport,SYR,43.11119842529297,-76.1063003540039,Syracuse,US
Waynesville-St. Robert Regional Airport-Forney Field,TBN,37.7416,-92.140701,Fort Leonard Wood,US
Teterboro Airport,TEB,40.850101,-74.060799,Teterboro,US
Telluride Regional Airport,TEX,37.9538,-107.907997,Telluride,US
Tacoma Narrows Airport,TIW,47.267407,-122.577295,Tacoma,US
Tallahassee Regional Airport,TLH,30.3965,-84.350304,Tallahassee,US
Eugene F. Kranz Toledo Express Airport,TOL,41.5868,-83.8078,Toledo,US
Tampa International Airport,TPA,27.9755,-82.533203,Tampa,US
Tri-Cities Regional TN/VA Airport,TRI,36.475201,-82.407401,Blountville,US
Truckee Tahoe Airport,TKF,39.318628,-120.140562,Truckee,US
Trenton Mercer Airport,TTN,40.276699,-74.813499,Ewing Township,US
Tulsa International Airport,TUL,36.19839859008789,-95.88809967041016,Tulsa,US
Tupelo Regional Airport,TUP,34.26810073852539,-88.7698974609375,Tupelo,US
Tucson International Airport / Morris Air National Guard Base,TUS,32.115004,-110.938053,Tucson,US
Cherry Capital Airport,TVC,44.74140167236328,-85.58219909667969,Traverse City,US
Thief River Falls Regional Airport,TVF,48.065701,-96.184998,Thief River Falls,US
Joslin Field Magic Valley Regional Airport,TWF,42.4818,-114.487999,Twin Falls,US
Texarkana Regional Airport (Webb Field),TXK,33.453701,-93.990997,Texarkana,US
Tyler Pounds Regional Airport,TYR,32.35409927368164,-95.40239715576172,Tyler,US
McGhee Tyson Airport,TYS,35.811001,-83.994003,Alcoa,US
Quincy Regional Airport Baldwin Field,UIN,39.942699,-91.194603,Quincy,US
State College Regional Airport,SCE,40.849374,-77.84852,State College,US
Newport State Airport,NPT,41.532398,-71.281502,Newport,US
Victoria Regional Airport,VCT,28.85260009765625,-96.9185028076172,Victoria,US
Vernal Regional Airport,VEL,40.436214,-109.511661,Vernal,US
Valdosta Regional Airport,VLD,30.78249931335449,-83.27670288085938,Valdosta,US
Destin-Fort Walton Beach Airport,VPS,30.4832,-86.525398,Valparaiso,US
Vero Beach Regional Airport,VRB,27.6556,-80.417901,Vero Beach,US
Westerly State Airport,WST,41.349602,-71.803398,Westerly,US
Yellowstone Airport,WYS,44.6884,-111.117996,West Yellowstone,US
Northwest Arkansas National Airport,XNA,36.281898,-94.306801,Fayetteville/Springdale/Rogers,US
Williston Basin International Airport,XWA,48.258387,-103.748797,Williston,US
Yakima Air Terminal McAllister Field,YKM,46.56819916,-120.5439987,Yakima,US
Bokeo International Airport,BOR,20.323986,100.165392,Ton Phueng,LA
Tirana International Airport Mother Teresa,TIA,41.4147,19.7206,Rinas,AL
Burgas Airport,BOJ,42.569917,27.515173,Burgas,BG
Plovdiv International Airport,PDV,42.067799,24.8508,Plovdiv,BG
Sofia Airport,SOF,42.696357,23.417671,Sofia,BG
Varna Airport,VAR,43.232101,27.8251,Varna,BG
Nicosia (Lefkoşa) Ercan International Airport,ECN,35.152337,33.506584,Tymbou (Kirklar),CY
Lefkoniko Airport / Geçitkale Air Base,GEC,35.23591,33.720088,Lefkoniko (Geçitkale),CY
Larnaca International Airport,LCA,34.875099,33.624901,Larnaca,CY
Paphos International Airport,PFO,34.717999,32.485699,Paphos,CY
Dubrovnik Ruđer Bošković Airport,DBV,42.562247,18.265543,Čilipi,HR
Osijek Airport,OSI,45.462355,18.811278,Klisa,HR
Pula Airport,PUY,44.893501,13.9222,Pula,HR
Rijeka Airport,RJK,45.2169,14.5703,Omišalj,HR
Brač Airport,BWK,43.284454,16.678362,Gornji Humac,HR
Split Airport,SPU,43.538898,16.298,Kaštel Štafilić,HR
Zagreb Franjo Tuđman International Airport,ZAG,45.742901,16.0688,Velika Gorica,HR
Zadar Airport,ZAD,44.094988,15.354879,Zemunik Donji (Zadar),HR
Alicante-Elche Miguel Hernández Airport,ALC,38.2822,-0.558156,Alicante,ES
Almería Airport,LEI,36.843899,-2.3701,Almería,ES
Asturias Airport,OVD,43.563599,-6.03462,Ranón,ES
Bilbao Airport,BIO,43.301102,-2.91061,Bilbao,ES
Josep Tarradellas Barcelona-El Prat Airport,BCN,41.2971,2.07846,Barcelona,ES
Badajoz Airport,BJZ,38.8913,-6.82133,Badajoz,ES
Castellón-Costa Azahar Airport,CDT,40.213889,0.073333,Castellón de la Plana,ES
A Coruña Airport,LCG,43.302101,-8.37726,Culleredo,ES
Lleida-Alguaire Airport,ILD,41.728185,0.535023,Lleida,ES
Girona-Costa Brava Airport,GRO,41.904639,2.761774,Girona,ES
F.G.L. Airport Granada-Jaén Airport,GRX,37.188702,-3.77736,Granada,ES
Ibiza Airport,IBZ,38.872898,1.37312,Ibiza (Eivissa),ES
Jerez Airport,XRY,36.744598,-6.06011,Jerez de la Frontera,ES
León Int'l Airport,LEN,42.589001,-5.65556,La Virgen Del Camino,ES
Adolfo Suárez Madrid–Barajas Airport,MAD,40.471926,-3.56264,Madrid,ES
Málaga-Costa del Sol Airport,AGP,36.6749,-4.49911,Málaga,ES
Menorca Airport,MAH,39.862598,4.21865,Mahón (Maó),ES
Región de Murcia International Airport,RMU,37.803,-1.125,Corvera,ES
Palma de Mallorca Airport,PMI,39.551701,2.73881,Palma de Mallorca,ES
Pamplona Airport,PNA,42.77,-1.64633,Pamplona,ES
Reus Airport,REU,41.1474,1.16717,Reus,ES
Salamanca Airport,SLM,40.952099,-5.50199,Salamanca,ES
San Sebastián Airport,EAS,43.356499,-1.79061,Hondarribia,ES
Santiago-Rosalía de Castro Airport,SCQ,42.896301,-8.41514,Santiago de Compostela,ES
Pirineus - la Seu d'Urgel Airport,LEU,42.3386,1.40917,La Seu d'Urgell Pyrenees and Andorra,ES
Valencia Airport,VLC,39.4893,-0.481625,Valencia,ES
Valladolid Airport,VLL,41.7061,-4.85194,Valladolid,ES
Vitoria Airport,VIT,42.882801,-2.72447,Alava,ES
Vigo Airport,VGO,42.2318,-8.62677,Vigo,ES
Seve Ballesteros-Santander Airport,SDR,43.427101,-3.82001,Santander,ES
Zaragoza Airport,ZAZ,41.666199,-1.04155,Zaragoza,ES
Sevilla Airport,SVQ,37.417999,-5.89311,Sevilla,ES
Bordeaux-Mérignac Airport,BOD,44.8283,-0.715556,Bordeaux/Mérignac,FR
Bergerac Dordogne Périgord Airport,EGC,44.825298,0.518611,Bergerac/Roumanière,FR
La Rochelle-Île de Ré Airport,LRH,46.179199,-1.19528,La Rochelle/Île de Ré,FR
Poitiers-Biard Airport,PIS,46.5877,0.306666,Poitiers/Biard,FR
Limoges Airport,LIG,45.862801,1.17944,Limoges/Bellegarde,FR
Toulouse-Blagnac Airport,TLS,43.629101,1.36382,Toulouse/Blagnac,FR
Pau Pyrénées Airport,PUF,43.380001,-0.418611,Pau/Pyrénées (Uzein),FR
Tarbes-Lourdes-Pyrénées Airport,LDE,43.178699,-0.006439,Tarbes/Lourdes/Pyrénées,FR
Biarritz-Anglet-Bayonne Airport,BIQ,43.468333,-1.531111,Biarritz/Anglet/Bayonne,FR
Castres-Mazamet Airport,DCM,43.556301,2.28918,Castres/Mazamet,FR
Rodez–Aveyron Airport,RDZ,44.407902,2.48267,Rodez/Marcillac,FR
Aérodrome de Belle Île,BIC,47.325256,-3.201255,Bangor,FR
Ouessant Airport,OUI,48.4632,-5.06358,Ushant,FR
Île d'Yeu Airport,IDY,46.717641,-2.392544,Île d'Yeu,FR
Dole-Jura Airport,DLE,47.038955,5.427589,"Tavaux, Jura",FR
Le Puy-Loudes Airfield,LPY,45.0807,3.76289,"Chaspuzac, Haute-Loire",FR
Metz-Nancy-Lorraine Airport,ETZ,48.982101,6.25132,Goin,FR
Bastia-Poretta Airport,BIA,42.55270004272461,9.48373031616211,Bastia/Poretta,FR
Calvi-Sainte-Catherine Airport,CLY,42.524444,8.793056,Calvi/Sainte-Catherine,FR
Figari Sud-Corse Airport,FSC,41.500599,9.09778,Figari Sud-Corse,FR
Ajaccio-Napoléon Bonaparte Airport,AJA,41.92359924316406,8.8029203414917,Ajaccio/Napoléon Bonaparte,FR
Chambéry Savoie Mont Blanc Airport,CMF,45.6381,5.88023,Viviers-du-Lac,FR
Clermont-Ferrand Auvergne Airport,CFE,45.786701,3.16917,"Aulnat, Puy-de-Dôme",FR
Lyon Saint-Exupéry Airport,LYS,45.725996,5.090139,"Colombier-Saugnieu, Rhône",FR
Annecy Haute-Savoie Mont Blanc Airport,NCY,45.928947,6.0987,Epagny Metz-Tessy,FR
